Date,Country,Month,Year,Temp
1900-04-01,Slovakia,4,1900,6.237
1900-04-01,South Africa,4,1900,18.604000000000006
1900-04-01,South Korea,4,1900,10.89
1900-04-01,Spain,4,1900,12.158
1900-04-01,Switzerland,4,1900,5.335
1900-04-01,Syria,4,1900,17.516000000000002
1900-04-01,Turkey,4,1900,10.311000000000002
1900-04-01,Turkmenistan,4,1900,14.177
1900-04-01,Ukraine,4,1900,6.446000000000001
1900-04-01,United Arab Emirates,4,1900,28.777
1900-04-01,United Kingdom,4,1900,7.374
1900-04-01,Venezuela,4,1900,25.907
1900-04-01,Vietnam,4,1900,25.18
1900-05-01,Argentina,5,1900,10.847
1900-05-01,Austria,5,1900,9.62
1900-05-01,Bahrain,5,1900,29.516
1900-05-01,Belarus,5,1900,11.077
1900-05-01,Belgium,5,1900,11.693
1900-05-01,Bulgaria,5,1900,14.122
1900-05-01,Czech Republic,5,1900,11.039
1900-05-01,France,5,1900,14.169
1900-05-01,Hong Kong,5,1900,25.758000000000003
1900-05-01,Hungary,5,1900,14.282
1900-05-01,Iceland,5,1900,2.652
1900-05-01,India,5,1900,29.772
1900-05-01,Ireland,5,1900,10.21
1900-05-01,Italy,5,1900,14.543
1900-05-01,Japan,5,1900,14.89
1900-05-01,Kuwait,5,1900,29.956
1900-05-01,Latvia,5,1900,9.136
1900-05-01,Macedonia,5,1900,13.925999999999998
1900-05-01,Philippines,5,1900,27.382
1900-05-01,Poland,5,1900,11.476
1900-05-01,Portugal,5,1900,15.15
1900-05-01,Qatar,5,1900,30.23
1900-05-01,Romania,5,1900,13.727
1900-05-01,Saudi Arabia,5,1900,29.658
1900-05-01,Singapore,5,1900,27.363000000000003
1900-05-01,Slovakia,5,1900,11.499
1900-05-01,South Africa,5,1900,15.012
1900-05-01,South Korea,5,1900,16.398
1900-05-01,Spain,5,1900,14.436
1900-05-01,Switzerland,5,1900,9.587000000000002
1900-05-01,Syria,5,1900,22.102
1900-05-01,Turkey,5,1900,14.904000000000002
1900-05-01,Turkmenistan,5,1900,22.831
1900-05-01,Ukraine,5,1900,13.965
1900-05-01,United Arab Emirates,5,1900,31.07
1900-05-01,United Kingdom,5,1900,9.268
1900-05-01,Venezuela,5,1900,25.926
1900-05-01,Vietnam,5,1900,26.479
1900-06-01,Argentina,6,1900,8.74
1900-06-01,Austria,6,1900,14.664
1900-06-01,Bahrain,6,1900,33.578
1900-06-01,Belarus,6,1900,15.757
1900-06-01,Belgium,6,1900,16.486
1900-06-01,Bulgaria,6,1900,18.589
1900-06-01,Czech Republic,6,1900,16.378
1900-06-01,France,6,1900,17.995
1900-06-01,Hong Kong,6,1900,26.721
1900-06-01,Hungary,6,1900,18.813
1900-06-01,Iceland,6,1900,7.529
1900-06-01,India,6,1900,29.928
1900-06-01,Ireland,6,1900,13.574000000000002
1900-06-01,Italy,6,1900,19.221
1900-06-01,Japan,6,1900,17.685
1900-06-01,Kuwait,6,1900,34.306999999999995
1900-06-01,Latvia,6,1900,14.979
1900-06-01,Macedonia,6,1900,18.251
1900-06-01,Philippines,6,1900,27.016
1900-06-01,Poland,6,1900,16.634
1900-06-01,Portugal,6,1900,19.209
1900-06-01,Qatar,6,1900,34.207
1900-06-01,Romania,6,1900,17.845
1900-06-01,Saudi Arabia,6,1900,32.997
1900-06-01,Singapore,6,1900,27.273000000000003
1900-06-01,Slovakia,6,1900,16.326
1900-06-01,South Africa,6,1900,11.377
1900-06-01,South Korea,6,1900,19.833
1900-06-01,Spain,6,1900,19.797
1900-06-01,Switzerland,6,1900,14.771
1900-06-01,Syria,6,1900,25.669
1900-06-01,Turkey,6,1900,18.768
1900-06-01,Turkmenistan,6,1900,26.667
1900-06-01,Ukraine,6,1900,17.391
1900-06-01,United Arab Emirates,6,1900,34.786
1900-06-01,United Kingdom,6,1900,12.941
1900-06-01,Venezuela,6,1900,24.938
1900-06-01,Vietnam,6,1900,27.012
1900-07-01,Argentina,7,1900,8.976
1900-07-01,Austria,7,1900,17.186
1900-07-01,Bahrain,7,1900,34.718
1900-07-01,Belarus,7,1900,18.446
1900-07-01,Belgium,7,1900,19.542
1900-07-01,Bulgaria,7,1900,21.203000000000007
1900-07-01,Czech Republic,7,1900,18.842
1900-07-01,France,7,1900,20.594
1900-07-01,Hong Kong,7,1900,27.925
1900-07-01,Hungary,7,1900,21.665
1900-07-01,Iceland,7,1900,8.818999999999997
1900-07-01,India,7,1900,27.609
1900-07-01,Ireland,7,1900,15.758
1900-07-01,Italy,7,1900,21.789
1900-07-01,Japan,7,1900,21.108
1900-07-01,Kuwait,7,1900,35.88800000000001
1900-07-01,Latvia,7,1900,17.459000000000003
1900-07-01,Macedonia,7,1900,20.964
1900-07-01,Philippines,7,1900,26.907
1900-07-01,Poland,7,1900,19.277
1900-07-01,Portugal,7,1900,22.846
1900-07-01,Qatar,7,1900,35.042
1900-07-01,Romania,7,1900,20.612
1900-07-01,Saudi Arabia,7,1900,33.898
1900-07-01,Singapore,7,1900,26.678
1900-07-01,Slovakia,7,1900,19.142
1900-07-01,South Africa,7,1900,11.254
1900-07-01,South Korea,7,1900,23.308000000000003
1900-07-01,Spain,7,1900,23.205
1900-07-01,Switzerland,7,1900,17.327
1900-07-01,Syria,7,1900,28.499
1900-07-01,Turkey,7,1900,22.363000000000003
1900-07-01,Turkmenistan,7,1900,28.856
